dataset,hardware,vmaf_version,clip,complexity,codec,profile,encoder_kind,rung,resolution_p,target_kbps,achieved_kbps,vmaf,wh_per_min,delta_w_watts,n,confidence,source_file,notes
clean_iso_bitrate_sweep_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,gpu_baseline,gpu,sweep,1080,5000,4994.6,93.96,0.1315,57.17,5,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_iso_bitrate_sweep_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,gpu_tuned,gpu,sweep,1080,5000,4966.7,93.53,0.3779,47.4,2,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_iso_bitrate_sweep_2026-09-06,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,cpu,cpu,sweep,1080,7000,6888.8,95.45,0.861,67.38,1,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_iso_bitrate_sweep_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,gpu_baseline,gpu,sweep,1080,7000,6880.1,94.47,0.1254,54.81,5,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_iso_bitrate_sweep_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,gpu_tuned,gpu,sweep,1080,7000,6952.5,94.06,0.3473,43.71,2,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_iso_bitrate_sweep_2026-09-06,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,cpu,cpu,sweep,1080,8500,8360.7,95.7,0.9262,68.33,1,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_iso_bitrate_sweep_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,gpu_baseline,gpu,sweep,1080,8500,8365.9,94.75,0.1255,54.57,5,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_iso_bitrate_sweep_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,gpu_tuned,gpu,sweep,1080,8500,8457.9,94.32,0.353,44.43,2,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_iso_bitrate_sweep_2026-09-06,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,cpu,cpu,sweep,1080,10000,9840.0,95.88,0.968,67.8,1,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_iso_bitrate_sweep_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,gpu_baseline,gpu,sweep,1080,10000,9815.5,94.97,0.1267,55.1,5,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_iso_bitrate_sweep_2026-09-06,RTX 5080 NVENC,"v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),h265,gpu_tuned,gpu,sweep,1080,10000,9962.8,94.53,0.3552,44.56,2,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
clean_iso_bitrate_sweep_2026-09-06,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, explicit override 2026-09-06)",meridian_120s,low (SI~13/TI~2),av1,cpu,cpu,sweep,1080,1000,680.7,90.77,0.322,65.13,3,Repeatable,results/calibration/_staging/encode_parity_CLEAN_nvenc_24c_2026-09-06.json,"measured point; pass 1 of 2; clean protocol: active wait-for-idle (not a flat 10s sleep), baseline_elevated persisted, page cache evicted per row"
