dataset,hardware,vmaf_version,clip,complexity,codec,profile,encoder_kind,rung,resolution_p,target_kbps,achieved_kbps,vmaf,wh_per_min,delta_w_watts,n,confidence,source_file,notes
s53_iso_bitrate_sweep,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h265,cpu,cpu,sweep,1080,3500,4068.0,92.05,0.6493,69.36,2,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h265,gpu_baseline,gpu,sweep,1080,3500,3258.6,89.38,0.1428,64.8,6,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h265,gpu_tuned,gpu,sweep,1080,3500,3334.2,90.25,0.3772,46.99,2,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h265,cpu,cpu,sweep,1080,5000,5923.6,93.84,0.6986,69.28,2,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h265,gpu_baseline,gpu,sweep,1080,5000,4583.5,91.58,0.1425,64.68,6,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h265,gpu_tuned,gpu,sweep,1080,5000,4680.8,92.19,0.3816,47.54,2,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h265,cpu,cpu,sweep,1080,7000,8468.5,95.11,0.7794,70.68,2,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h265,gpu_baseline,gpu,sweep,1080,7000,6327.1,92.94,0.1461,65.75,5,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,RTX 5080 NVENC,"v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),h265,gpu_tuned,gpu,sweep,1080,7000,6450.0,93.48,0.3858,48.06,2,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
s53_iso_bitrate_sweep,"Ryzen 9 7900 (24c CPU, libx264/libx265/libsvtav1)","v0.6.1 (default model, pre-OWL-v1)",bbb_120s,high (SI~33/TI~6),av1,cpu,cpu,sweep,1080,1000,986.2,87.83,0.3717,65.6,2,Repeatable,results/calibration/encode_parity_nvenc_24c_2026-06-20.json,measured point
